age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,default,contract_dt,client_id
33,male,2,own,,,3074,9,radio/TV,0,2008-06-29 18:52:00,210
43,male,1,own,little,little,1344,12,car,0,2007-05-20 18:30:19,929
52,male,2,own,quite rich,,936,9,education,0,2008-04-27 08:23:07,200
35,female,3,own,little,,1393,11,car,0,2007-05-06 10:58:22,45
28,male,2,own,little,,776,12,radio/TV,0,2007-07-21 13:22:14,358
27,female,2,own,little,moderate,1295,18,furniture/equipment,0,2008-06-18 04:10:05,86
29,female,2,own,little,moderate,959,9,furniture/equipment,1,2007-05-21 14:32:00,351
42,female,2,rent,rich,rich,409,12,radio/TV,0,2008-06-05 05:31:13,27
26,male,2,own,little,little,4370,42,radio/TV,1,2007-11-29 00:20:44,639
55,male,2,free,rich,,1555,12,repairs,1,2007-09-11 20:27:28,754
27,female,2,own,little,little,3123,24,car,1,2008-04-16 08:37:35,500
35,male,2,free,little,little,3386,12,car,1,2007-11-16 10:55:10,457
48,male,2,own,little,little,1082,12,car,1,2007-05-13 15:32:57,835
34,male,1,own,moderate,,1743,6,business,0,2008-02-14 01:58:09,348
35,male,2,own,little,moderate,2576,7,radio/TV,0,2008-01-20 14:51:24,447
27,male,2,own,little,,3850,18,car,0,2007-09-03 19:56:34,366
46,male,2,free,quite rich,,727,10,education,0,2007-07-06 20:47:24,354
37,male,3,own,,moderate,4712,24,business,0,2007-11-23 03:51:16,564
29,male,2,own,,,3556,15,car,0,2007-05-06 15:02:50,962
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,1,2007-10-03 06:52:44,618
20,male,2,own,little,,1313,9,furniture/equipment,0,2007-12-18 13:03:24,428
27,male,1,own,little,little,1168,12,car,0,2008-03-22 10:32:04,201
47,male,2,free,little,,5103,24,radio/TV,0,2007-10-25 09:51:21,683
28,male,2,own,little,,1413,24,radio/TV,0,2007-10-18 06:29:19,508
62,male,2,own,quite rich,,1338,6,domestic appliances,0,2007-08-01 18:36:24,816
39,male,3,rent,little,little,3345,24,furniture/equipment,1,2007-11-11 15:12:09,919
35,male,1,own,moderate,little,4380,18,car,0,2008-01-04 17:17:51,737
33,male,2,rent,little,little,2235,20,car,1,2007-06-19 09:54:24,850
32,male,2,own,moderate,,2848,10,car,0,2007-07-23 04:53:05,916
44,male,2,own,little,little,1478,15,furniture/equipment,0,2007-09-23 07:36:29,479
42,male,1,own,little,,1455,4,car,0,2007-07-16 05:28:49,943
41,male,2,own,moderate,moderate,2503,30,business,0,2008-01-25 07:33:01,703
34,male,2,free,,,6527,60,car,0,2007-10-07 13:02:48,685
24,female,2,own,little,little,3190,18,radio/TV,1,2008-05-29 21:18:31,521
28,male,2,rent,little,little,6199,12,radio/TV,1,2008-01-11 15:16:37,353
56,male,2,own,little,,618,12,radio/TV,0,2007-06-16 17:42:15,90
40,male,1,own,,little,1647,21,car,1,2007-08-16 09:28:14,182
26,female,2,own,little,,2764,33,business,0,2007-08-20 03:50:30,468
36,male,2,own,quite rich,rich,2360,15,car,0,2007-11-01 09:56:05,506
39,male,1,own,little,little,3398,8,car,0,2008-03-16 02:08:20,325
31,male,1,own,little,little,3108,30,furniture/equipment,1,2007-11-21 23:06:14,766
27,male,3,own,little,moderate,14027,60,car,1,2008-03-27 13:35:17,714
30,male,3,own,moderate,little,2249,18,car,0,2008-04-13 05:26:58,88
43,male,2,own,moderate,little,1203,6,car,0,2007-10-30 23:15:38,518
40,male,2,own,quite rich,,2675,22,radio/TV,0,2008-06-18 05:31:44,786
29,male,3,free,little,little,6579,24,car,0,2007-10-05 07:21:04,988
37,male,2,free,,,2279,12,radio/TV,0,2007-06-01 12:33:25,681
22,female,2,rent,little,little,3650,18,furniture/equipment,0,2008-01-07 05:22:14,367
50,male,2,own,rich,,3777,24,furniture/equipment,0,2008-02-12 10:28:30,183
23,female,2,own,quite rich,little,4281,33,furniture/equipment,1,2008-05-30 06:32:01,118
52,female,3,free,,,2133,12,car,0,2007-12-09 10:59:30,584
33,male,2,own,little,,2058,24,repairs,0,2007-05-18 14:32:29,433
45,male,1,own,little,little,4006,28,car,1,2007-05-07 04:53:09,958
26,female,3,rent,little,,4530,30,radio/TV,0,2008-02-15 18:38:25,675
66,male,3,free,little,little,1526,12,car,0,2007-10-02 06:03:15,75
28,male,1,own,little,little,1797,13,business,0,2008-04-10 05:41:12,745
27,male,0,own,rich,rich,709,6,car,0,2008-01-06 13:16:15,140
31,male,3,rent,little,,1963,12,radio/TV,0,2007-10-23 08:08:28,178
25,female,1,own,little,moderate,1355,24,car,1,2008-05-15 10:10:10,634
50,male,3,free,little,little,7476,48,education,0,2007-12-22 19:20:20,650
40,female,2,own,quite rich,,7678,36,furniture/equipment,0,2008-01-21 20:46:25,870
65,female,0,own,little,,1098,18,radio/TV,0,2008-02-24 02:59:17,883
44,female,1,rent,little,rich,1881,12,radio/TV,0,2008-05-25 15:55:22,139
41,male,2,own,,,3160,21,radio/TV,0,2007-05-08 13:26:18,742
70,male,3,free,little,moderate,7308,10,car,0,2008-02-08 02:54:29,163
31,male,2,rent,little,little,3161,24,business,1,2007-06-02 00:46:37,914
24,female,1,rent,,,4811,30,car,0,2008-04-11 03:16:26,306
31,male,2,own,rich,little,3651,12,car,0,2007-05-11 20:35:58,689
40,male,2,rent,,,1386,15,radio/TV,0,2008-03-03 19:17:41,903
41,male,1,own,little,moderate,888,12,car,1,2008-03-28 08:44:59,656
35,male,2,own,moderate,,4151,24,furniture/equipment,0,2007-06-10 17:03:25,253
57,male,1,own,little,little,709,12,radio/TV,1,2007-06-22 06:27:54,849
43,male,2,own,little,,2515,18,furniture/equipment,0,2008-06-06 01:24:10,298
42,male,3,own,little,,2292,12,business,1,2008-05-17 02:30:25,412
23,male,1,rent,quite rich,,660,6,repairs,0,2008-03-04 17:54:14,436
61,male,1,rent,moderate,moderate,2767,21,business,1,2007-12-31 06:49:39,237
40,male,3,own,,little,1358,24,vacation/others,1,2007-12-21 13:27:11,594
28,male,2,own,quite rich,rich,939,12,car,1,2007-06-23 15:41:31,409
32,male,2,own,,,2662,18,car,0,2008-01-13 01:51:28,270
59,male,2,own,little,little,1364,9,radio/TV,0,2007-06-03 20:23:21,848
26,male,2,own,little,,1076,12,business,0,2008-03-10 22:49:37,290
33,male,2,own,little,,3029,15,car,0,2008-01-03 20:56:02,749
29,female,2,own,little,,2171,12,radio/TV,0,2008-04-10 12:04:24,66
36,male,1,own,little,little,1374,6,furniture/equipment,0,2007-11-22 10:11:25,25
27,male,1,own,,,1309,10,car,1,2008-05-15 15:11:49,505
23,male,2,rent,little,little,4110,24,furniture/equipment,1,2007-05-17 21:20:35,334
31,male,3,own,little,,2406,9,furniture/equipment,0,2007-12-21 05:41:36,394
28,male,2,own,little,,9572,36,business,1,2008-01-24 23:02:24,180
41,male,1,own,little,,719,12,education,1,2008-02-29 23:20:50,443
29,female,2,own,,little,915,24,car,1,2007-11-11 01:38:20,240
24,female,2,rent,rich,moderate,433,6,education,1,2008-05-14 09:47:29,721
26,male,2,own,little,little,759,12,car,1,2008-01-04 06:32:49,510
23,female,3,rent,little,moderate,11560,24,car,1,2007-11-26 18:43:08,736
40,male,3,own,little,little,3857,30,car,0,2007-09-11 09:11:18,996
32,male,2,own,little,,2697,9,radio/TV,0,2007-09-20 20:11:26,275
28,male,2,own,moderate,rich,1323,6,car,0,2007-12-04 01:06:54,499
28,female,3,own,moderate,rich,2923,21,car,0,2007-10-16 18:45:51,982
26,female,2,own,,moderate,1715,30,radio/TV,0,2008-02-26 04:57:57,965
36,male,3,own,little,,3275,21,car,0,2008-04-26 16:24:15,772
28,male,3,own,little,moderate,5234,30,car,1,2008-06-13 08:03:11,9
33,male,2,own,little,,6070,18,radio/TV,0,2008-01-31 03:35:00,371
25,male,2,own,moderate,,5511,24,furniture/equipment,0,2008-04-10 01:45:39,311
46,male,2,free,little,little,3931,48,car,1,2007-07-19 19:43:21,814
22,female,2,own,little,moderate,1567,12,radio/TV,0,2008-02-18 23:53:14,12
39,male,3,own,little,,6458,18,car,1,2007-10-03 09:01:24,106
48,male,1,rent,little,little,2241,10,car,0,2007-07-30 07:49:24,22
40,male,1,rent,quite rich,,1597,10,car,0,2008-06-08 12:22:38,413
50,male,2,own,little,little,5293,27,business,1,2007-10-02 01:48:50,212
24,female,2,own,little,moderate,2150,30,car,1,2008-04-08 23:13:24,252
37,male,2,free,,moderate,12389,36,car,1,2007-12-21 00:06:27,563
53,male,2,free,little,little,4870,24,car,1,2007-10-05 03:47:21,4
44,male,2,free,little,,5507,24,repairs,0,2008-06-28 14:08:06,520
46,male,2,own,little,little,697,12,car,1,2008-03-03 20:04:19,925
24,female,2,rent,little,little,4308,48,business,1,2008-04-21 00:30:53,11
23,male,2,own,little,moderate,882,13,radio/TV,0,2007-10-14 21:36:04,346
39,male,2,own,,little,2212,20,furniture/equipment,0,2007-05-05 10:26:21,380
42,male,2,own,,moderate,2427,18,business,0,2007-10-16 17:55:06,977
49,male,2,rent,,,5801,12,furniture/equipment,0,2007-10-25 18:38:51,326
25,female,2,own,,,2394,36,radio/TV,0,2008-04-15 00:05:58,69
29,male,2,own,,,1169,18,radio/TV,0,2008-06-13 12:43:52,894
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,1,2007-12-12 17:31:32,496
42,male,2,own,little,little,2577,12,furniture/equipment,0,2008-03-25 17:57:21,176
35,male,2,own,quite rich,,2397,24,radio/TV,1,2008-06-23 22:54:32,963
36,male,2,own,little,,4165,18,business,1,2007-08-21 22:39:43,827
27,female,2,own,little,,1185,12,business,0,2007-10-18 13:45:07,243
34,male,3,own,moderate,moderate,6850,15,car,1,2007-10-30 11:44:28,507
22,male,2,free,little,little,3973,14,car,0,2008-03-15 22:06:34,655
41,male,2,own,,moderate,3979,48,radio/TV,0,2007-05-28 21:43:45,568
23,female,2,own,,,996,12,repairs,0,2008-04-26 10:28:29,550
22,male,2,own,little,moderate,3832,30,furniture/equipment,0,2007-11-23 01:53:20,79
54,male,2,own,,,717,24,car,0,2007-07-05 20:13:32,798
36,male,2,own,quite rich,,909,36,car,0,2008-01-09 00:07:15,164
21,female,2,rent,little,,2570,27,car,1,2008-06-14 22:03:03,724
30,male,2,rent,little,,1740,6,radio/TV,0,2008-02-19 07:50:49,960
31,male,2,own,little,little,3104,18,business,0,2007-12-14 14:14:13,216
32,male,2,own,,,7238,48,radio/TV,0,2008-01-31 18:50:38,467
44,female,3,free,little,moderate,12579,24,car,1,2007-06-20 12:13:51,18
22,male,2,own,quite rich,little,2483,24,furniture/equipment,0,2007-07-20 16:19:02,743
28,male,2,own,little,,2284,24,radio/TV,0,2007-08-24 15:24:52,694
74,male,1,own,little,,3448,5,business,0,2007-07-03 02:08:34,430
25,female,2,own,little,,7855,36,car,1,2007-06-18 03:26:21,113
21,male,2,own,little,,15653,60,radio/TV,0,2008-04-26 15:28:20,637
68,male,3,own,little,little,14896,6,car,1,2008-05-09 12:43:29,917
32,male,2,own,little,moderate,2273,36,education,0,2007-12-15 04:05:05,530
22,male,1,rent,little,moderate,276,9,car,0,2007-10-08 00:11:40,309
38,male,3,own,,,3229,18,car,0,2007-09-04 13:01:11,352
21,male,2,rent,little,,1766,6,furniture/equipment,0,2007-06-27 17:43:28,363
28,male,1,own,little,little,654,9,car,1,2007-10-07 03:58:45,472
35,male,3,own,little,moderate,1050,6,furniture/equipment,0,2008-06-03 04:45:01,663
35,female,2,free,quite rich,,5324,15,car,0,2008-01-29 18:59:16,705
39,male,2,own,quite rich,,2299,36,radio/TV,0,2008-04-05 13:03:10,46
23,female,0,rent,quite rich,little,1352,6,car,0,2008-04-29 13:46:11,47
37,female,1,own,little,little,1274,12,car,1,2008-02-01 04:21:14,747
24,female,2,rent,little,little,1207,24,car,1,2007-07-16 07:59:42,504
22,female,2,rent,moderate,,2301,9,furniture/equipment,0,2008-01-26 08:59:35,795
30,male,2,rent,little,moderate,2002,12,car,0,2007-05-07 17:46:15,923
30,male,2,own,little,moderate,1056,18,car,1,2008-02-21 06:51:59,580
25,male,2,own,little,,1262,12,radio/TV,0,2007-08-10 09:59:07,52
34,male,1,own,,,1898,6,radio/TV,0,2007-07-19 00:24:14,159
33,male,1,own,little,little,2579,12,car,1,2008-01-23 15:07:52,416
23,female,2,own,little,little,1498,12,radio/TV,0,2007-12-05 18:26:16,934
21,male,2,rent,little,little,902,12,education,1,2008-03-11 20:03:58,203
30,male,3,own,little,,1820,18,car,0,2007-12-09 00:46:16,390
52,female,1,own,moderate,,362,6,car,0,2007-07-18 00:00:18,379
33,female,1,own,,,797,12,radio/TV,1,2007-06-12 03:53:21,92
33,female,3,own,little,rich,1474,12,furniture/equipment,0,2008-06-11 07:03:12,34
25,male,2,own,little,moderate,4933,39,radio/TV,1,2008-03-24 13:27:34,780
35,male,1,free,,,9055,36,education,0,2008-04-26 09:03:21,5
28,male,2,own,little,little,5371,36,furniture/equipment,0,2007-11-09 06:36:14,148
20,female,2,rent,little,little,2039,18,furniture/equipment,1,2008-05-22 20:07:24,585
28,male,2,own,,moderate,1887,18,business,0,2008-01-18 22:26:33,401
23,female,2,own,little,,2288,21,furniture/equipment,0,2008-06-11 08:20:48,144
54,male,2,own,little,little,3051,48,domestic appliances,1,2007-08-05 13:32:56,813
30,female,2,own,little,moderate,918,9,furniture/equipment,1,2007-05-15 03:04:49,601
23,male,2,own,little,rich,3913,36,radio/TV,0,2007-12-10 22:03:05,217
26,female,2,own,little,,1453,18,radio/TV,0,2007-06-23 17:27:00,679
29,female,2,own,little,,518,6,radio/TV,0,2008-01-27 03:55:06,451
45,male,1,own,little,little,339,12,education,0,2007-06-23 13:29:45,157
22,female,2,own,little,moderate,1670,9,radio/TV,1,2008-04-30 13:16:52,931
28,male,2,own,little,little,4169,24,furniture/equipment,0,2008-05-13 02:22:21,338
41,female,1,own,rich,,250,6,car,0,2007-05-17 04:07:19,725
30,male,2,own,little,little,2121,12,car,0,2007-06-02 03:46:50,125
27,male,2,own,little,little,3552,24,furniture/equipment,1,2007-11-03 04:06:20,558
56,male,2,free,little,rich,4796,42,car,0,2008-02-05 12:23:59,293
52,male,2,own,moderate,,2223,24,radio/TV,0,2007-06-01 04:40:51,773
46,male,2,rent,little,moderate,1223,12,car,1,2007-11-30 01:24:36,398
51,male,2,free,,little,7511,18,car,1,2008-02-01 11:10:42,796
27,male,2,own,,moderate,3711,36,education,0,2007-06-27 06:22:04,907
25,male,2,own,,,3105,24,radio/TV,0,2008-06-22 04:25:24,534
49,male,2,own,little,moderate,8386,30,furniture/equipment,1,2008-04-10 21:32:37,980
28,female,2,rent,quite rich,moderate,4113,24,car,1,2008-05-15 03:58:26,952
34,male,2,own,moderate,moderate,2622,18,business,0,2008-05-10 05:32:20,97
23,female,2,rent,little,little,2406,30,furniture/equipment,1,2007-12-29 20:14:30,359
36,male,2,own,little,little,1372,12,car,1,2007-05-21 22:46:32,566
33,male,2,own,little,rich,6289,42,business,0,2007-11-15 16:25:29,986
40,male,1,own,little,little,3939,11,car,0,2008-02-20 21:26:05,969
58,female,1,free,little,little,6143,48,car,1,2008-05-05 22:47:48,44
52,male,3,own,,moderate,6468,12,radio/TV,1,2008-01-03 21:31:30,56
35,male,2,own,little,little,691,12,car,1,2008-01-04 12:06:09,759
32,male,2,own,little,moderate,6078,12,car,0,2007-05-15 05:45:35,107
61,male,1,own,little,,1255,12,car,0,2008-03-15 12:17:22,544
23,male,2,own,,moderate,1444,15,radio/TV,0,2007-07-30 07:29:04,632
37,male,2,own,,,10222,48,radio/TV,0,2008-04-23 15:19:11,657
67,male,2,own,,little,1169,6,radio/TV,0,2008-01-06 06:36:56,0
41,male,2,own,little,rich,2116,6,furniture/equipment,0,2008-05-15 14:53:25,626
49,male,2,own,,,2331,12,radio/TV,0,2008-06-19 10:57:04,356
32,male,2,own,little,,1552,24,radio/TV,0,2007-10-03 11:59:15,547
27,male,2,own,,,1221,6,furniture/equipment,0,2007-07-14 01:29:26,792
37,male,2,own,little,rich,1225,10,domestic appliances,0,2007-11-28 06:30:44,38
38,male,1,own,little,little,708,12,furniture/equipment,0,2008-02-12 04:00:47,316
45,male,3,own,little,little,8978,14,car,1,2007-11-19 15:48:19,268
44,male,2,free,quite rich,,10127,48,car,1,2007-11-01 04:48:07,304
23,female,2,rent,little,rich,392,15,education,0,2008-06-02 05:48:09,111
38,male,3,free,little,little,10623,30,car,0,2007-05-20 01:43:05,205
45,male,3,own,little,,6761,6,car,0,2007-12-08 03:26:09,738
23,male,2,own,little,moderate,15672,48,business,1,2007-11-30 06:46:27,887
31,male,1,own,little,moderate,1521,10,furniture/equipment,0,2007-10-23 15:30:10,339
31,female,3,own,quite rich,,2782,21,car,0,2008-01-10 14:02:34,418
55,female,2,own,little,little,1603,24,radio/TV,0,2008-01-14 06:22:11,261
24,male,2,rent,moderate,little,6187,30,car,0,2007-07-21 21:40:35,43
38,male,3,own,rich,,5711,36,car,0,2007-05-06 18:06:16,778
29,female,2,own,little,little,3499,12,car,1,2007-09-20 07:23:44,129
37,male,2,own,little,little,3620,36,furniture/equipment,0,2007-12-09 19:40:43,460
25,female,2,rent,,little,1371,24,car,1,2007-11-09 03:10:57,775
26,male,2,own,little,moderate,907,8,business,0,2007-05-23 22:13:16,810
28,female,2,own,little,little,3660,24,radio/TV,0,2008-01-26 12:52:50,630
25,female,2,rent,little,,3972,24,furniture/equipment,0,2007-06-30 20:03:08,168
29,female,2,own,little,little,1893,12,car,0,2008-05-17 15:41:53,954
22,male,2,rent,moderate,moderate,3092,24,radio/TV,1,2008-04-26 09:28:41,470
30,female,2,own,moderate,,1864,18,education,1,2008-05-06 06:52:04,331
26,male,2,rent,,,2445,12,car,0,2007-06-25 03:01:23,104
35,male,1,own,rich,moderate,1941,18,business,0,2007-08-10 08:56:22,785
31,male,1,own,little,,1546,10,car,0,2007-06-30 03:59:55,941
28,female,2,own,little,,1382,6,radio/TV,0,2008-06-28 12:33:38,196
27,male,2,own,moderate,moderate,4576,45,car,0,2008-04-17 11:41:03,999
33,male,2,own,little,,5150,24,furniture/equipment,0,2007-12-08 23:58:17,676
31,male,2,own,moderate,,5742,36,business,0,2007-10-11 03:14:00,671
35,male,2,free,,,8858,48,car,0,2007-11-18 20:04:35,549
51,female,2,own,moderate,,682,12,car,0,2007-09-27 05:59:47,147
40,male,0,own,little,moderate,3590,18,business,0,2008-02-01 17:14:11,950
25,male,2,own,little,little,975,15,furniture/equipment,0,2007-06-26 00:37:25,690
35,male,2,own,,,1979,15,radio/TV,0,2008-03-03 11:32:53,625
36,male,3,own,,,1238,6,education,0,2008-06-26 15:10:16,473
28,female,2,rent,rich,,2603,24,car,0,2008-02-09 15:56:45,733
32,female,1,own,moderate,moderate,931,6,car,1,2007-05-15 00:49:44,595
25,male,2,own,little,little,2136,9,furniture/equipment,0,2007-05-30 23:33:54,434
22,male,2,own,little,moderate,1331,12,radio/TV,1,2008-06-02 07:16:14,555
24,female,2,rent,,little,1275,15,domestic appliances,1,2007-10-23 02:58:49,337
26,male,1,own,,,783,6,car,0,2007-09-26 00:04:01,55
27,female,2,own,little,,3609,48,business,0,2008-01-05 19:59:56,667
26,female,3,rent,,,5433,24,car,0,2008-02-08 20:00:45,572
24,female,3,own,moderate,moderate,7408,60,car,1,2007-08-30 20:44:44,332
52,male,1,own,little,little,2315,10,radio/TV,0,2008-04-20 22:24:11,84
26,male,2,own,,,5248,21,car,0,2008-03-14 18:09:46,748
33,male,2,own,little,,1851,24,radio/TV,0,2008-03-13 16:22:16,643
49,male,1,own,,rich,1445,18,radio/TV,0,2008-05-12 23:02:49,282
25,female,1,own,little,rich,2327,15,radio/TV,1,2007-07-04 17:07:24,834
36,male,2,rent,little,little,2799,9,car,0,2007-07-18 19:32:17,586
74,male,0,own,little,rich,1299,6,car,0,2007-12-16 10:33:44,756
30,male,2,own,little,,707,12,radio/TV,0,2008-04-16 12:31:53,222
35,male,1,rent,moderate,,1418,10,car,0,2008-01-13 02:24:59,488
32,male,1,free,little,little,1442,18,car,1,2007-06-03 17:20:48,853
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,0,2008-01-30 11:15:04,347
24,female,1,rent,moderate,,11590,48,car,1,2008-02-29 13:25:58,333
43,female,1,own,rich,,1516,24,radio/TV,0,2008-04-02 11:57:05,399
20,female,2,rent,,,4675,12,car,0,2008-06-06 19:31:48,296
54,male,2,own,little,little,1409,12,car,0,2007-10-18 09:06:59,91
26,male,2,own,moderate,little,1382,24,business,0,2008-04-28 00:19:09,872
63,male,1,own,little,,1655,12,radio/TV,0,2008-04-28 17:09:38,769
43,male,3,own,little,little,2442,27,business,0,2008-05-24 04:39:29,890
39,female,2,own,little,little,860,6,car,0,2008-01-10 15:51:25,146
50,male,2,own,little,,1559,24,business,0,2008-03-18 23:11:57,843
38,male,3,own,,,2859,12,car,0,2007-10-24 01:08:58,947
24,male,2,own,moderate,moderate,6560,48,car,1,2007-07-11 18:49:28,706
24,female,1,rent,moderate,,1568,18,business,0,2008-01-27 13:17:10,82
28,female,2,own,moderate,moderate,2278,18,car,1,2007-06-30 08:47:44,556
27,male,3,own,little,little,3416,27,radio/TV,0,2007-12-08 18:02:06,142
35,male,2,own,little,,2346,24,car,0,2007-11-18 09:26:36,654
66,male,0,free,quite rich,rich,1480,12,car,0,2007-10-17 15:20:08,774
34,male,1,own,moderate,,1569,15,radio/TV,0,2007-05-06 00:45:52,991
57,male,2,free,little,moderate,2225,36,car,1,2007-05-17 20:02:00,54
43,male,2,own,little,,1935,12,furniture/equipment,0,2007-06-03 11:35:18,206
30,female,3,own,little,moderate,4795,36,radio/TV,0,2007-05-01 12:42:45,141
36,female,1,own,rich,,1572,21,business,0,2007-05-31 15:59:25,592
37,male,1,own,,,3565,12,education,0,2007-05-09 09:22:47,990
24,female,2,rent,little,,1554,6,radio/TV,0,2008-03-14 06:47:02,817
58,male,2,own,,,1867,30,radio/TV,0,2008-06-28 11:49:14,928
52,male,2,own,little,,717,12,radio/TV,0,2007-09-24 11:40:56,246
30,male,3,own,,,11054,36,car,0,2008-05-04 05:03:38,450
30,male,3,free,,,12680,21,car,1,2007-06-05 09:37:57,763
33,female,2,own,little,,2831,30,radio/TV,0,2008-03-01 01:37:55,974
21,male,2,rent,little,moderate,2779,18,car,0,2008-06-06 15:51:39,425
22,male,2,own,little,little,2462,18,furniture/equipment,1,2007-12-27 20:26:52,143
33,female,2,own,little,little,1131,18,furniture/equipment,1,2008-05-09 00:03:40,166
34,male,2,own,little,,2759,12,furniture/equipment,0,2007-08-27 10:22:28,452
47,female,2,free,moderate,rich,1377,24,radio/TV,0,2008-03-08 12:06:19,702
51,male,2,own,little,,1595,6,radio/TV,0,2007-12-12 23:35:37,241
26,female,2,rent,little,,1388,9,furniture/equipment,0,2007-05-19 03:13:40,582
36,male,3,rent,,moderate,7057,20,car,0,2007-12-29 16:10:08,99
51,male,2,free,little,rich,2892,24,furniture/equipment,0,2007-11-23 16:22:05,793
26,male,1,own,moderate,,4272,30,business,0,2007-06-09 02:34:24,384
42,male,2,own,little,little,4153,18,furniture/equipment,1,2008-05-25 01:14:59,899
33,male,2,own,moderate,,1474,24,car,0,2007-07-30 10:27:09,855
59,female,2,own,,,5045,15,car,0,2007-08-20 20:54:43,760
49,female,2,own,little,little,428,6,furniture/equipment,0,2008-01-22 18:33:55,750
36,male,3,rent,moderate,moderate,6967,24,business,0,2008-01-14 15:06:15,154
29,female,2,own,rich,little,3357,21,radio/TV,0,2008-02-26 06:58:48,612
21,female,2,rent,little,little,1049,18,furniture/equipment,0,2008-01-18 23:42:52,926
23,female,2,rent,little,little,1442,24,car,1,2007-11-20 22:00:13,596
42,female,2,rent,,moderate,1965,24,car,0,2008-04-06 01:54:13,591
36,male,2,own,quite rich,,4042,42,furniture/equipment,0,2007-10-16 01:03:04,628
47,male,2,own,,,3578,48,radio/TV,0,2007-07-30 09:29:11,115
28,male,1,own,little,moderate,484,6,radio/TV,0,2007-06-07 21:06:35,811
36,male,2,own,quite rich,,1262,15,domestic appliances,0,2007-12-19 17:23:07,162
20,male,3,rent,little,little,1107,12,radio/TV,0,2007-09-21 15:49:22,905
74,female,3,free,little,moderate,5129,9,car,1,2007-10-07 15:37:47,186
53,male,2,free,little,little,7119,48,furniture/equipment,1,2008-01-27 03:00:10,522
27,male,3,free,little,little,1422,9,car,1,2007-12-06 21:34:06,878
39,female,1,own,rich,little,666,6,car,0,2008-03-26 14:06:37,250
24,male,2,own,quite rich,,2569,39,car,0,2008-06-23 22:21:06,476
43,male,1,own,little,,1533,18,furniture/equipment,1,2008-06-09 20:14:01,948
40,male,2,own,,,3077,30,radio/TV,0,2007-10-08 23:19:47,716
54,male,2,own,rich,moderate,1318,12,car,0,2008-06-09 19:42:27,94
23,female,2,own,little,rich,1275,10,furniture/equipment,0,2008-03-04 09:38:39,604
46,male,2,own,little,little,2348,36,furniture/equipment,0,2008-03-22 01:15:53,397
24,male,2,own,quite rich,,2080,6,car,0,2007-07-28 12:32:25,673
31,female,2,own,moderate,,1532,15,education,0,2007-05-13 21:40:39,526
20,female,2,rent,rich,,3186,15,car,0,2008-05-06 18:34:56,420
33,male,3,rent,little,,4844,48,business,1,2008-02-28 23:18:30,981
23,female,2,rent,little,,7127,36,furniture/equipment,1,2007-12-21 11:57:27,517
30,female,3,own,little,moderate,5096,48,furniture/equipment,1,2007-09-20 17:29:02,444
32,male,2,own,little,,4594,18,radio/TV,0,2008-03-20 10:03:45,459
27,male,2,rent,,,7980,36,business,1,2007-09-30 14:55:22,645
60,male,1,own,little,little,1199,24,car,1,2008-01-06 16:32:25,13
39,male,3,own,little,moderate,11938,24,vacation/others,1,2008-06-28 23:47:51,105
