age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,default,contract_dt,client_id
29,male,2,rent,little,,2108,6,radio/TV,0,2008-03-24 08:46:19,193
23,male,2,rent,rich,,3368,15,car,0,2007-10-10 10:40:42,280
32,male,2,own,little,,701,12,education,0,2007-05-31 08:44:12,318
31,male,3,own,,,8947,36,car,0,2007-09-27 05:44:38,895
24,male,1,own,little,little,1747,24,furniture/equipment,0,2007-05-15 12:35:27,930
25,female,2,own,little,moderate,1206,9,radio/TV,0,2008-06-09 18:17:07,708
27,male,1,own,little,,937,24,education,0,2007-09-26 18:17:40,579
34,male,2,own,little,,2320,18,radio/TV,0,2007-05-09 20:22:22,376
25,male,2,own,little,rich,5152,24,radio/TV,0,2007-09-01 09:22:02,477
23,female,2,rent,,little,8471,18,education,0,2007-07-03 15:59:16,417
26,female,0,own,little,rich,609,12,business,1,2007-10-09 21:37:50,439
30,male,3,own,little,moderate,5965,27,car,0,2007-07-17 05:22:43,51
31,male,2,own,moderate,moderate,6148,20,car,0,2007-05-22 19:16:03,719
19,female,1,rent,rich,moderate,983,12,furniture/equipment,0,2007-05-14 13:52:15,391
23,male,2,free,little,little,1845,45,radio/TV,1,2007-11-03 14:50:49,998
26,female,2,own,little,moderate,9960,48,furniture/equipment,1,2008-06-13 04:01:23,295
36,male,2,own,little,little,1721,15,car,0,2007-10-01 00:57:11,461
65,male,0,own,little,little,3394,42,repairs,0,2008-03-21 23:45:10,438
37,male,1,own,,rich,1344,24,car,1,2007-10-25 08:36:46,302
42,male,3,own,moderate,moderate,8086,36,car,1,2007-07-06 19:23:01,653
28,male,2,own,rich,,2142,11,business,0,2007-07-18 18:12:52,913
32,female,2,own,little,,4611,6,furniture/equipment,1,2008-03-20 11:50:01,278
24,female,2,own,,,874,15,domestic appliances,0,2008-03-19 10:52:31,873
46,male,2,own,little,,2611,24,radio/TV,0,2007-07-31 21:17:07,839
29,male,2,own,moderate,moderate,1437,9,car,1,2007-05-15 01:29:42,627
57,female,2,rent,rich,little,3622,30,furniture/equipment,0,2007-07-27 23:21:09,482
35,male,2,free,little,,1471,15,radio/TV,0,2007-12-13 03:50:35,852
34,male,2,own,rich,,2578,24,radio/TV,0,2007-06-05 22:15:08,567
46,female,1,own,little,,3594,15,car,0,2007-07-20 05:49:16,908
48,male,3,own,,moderate,12204,48,business,0,2008-04-03 22:04:42,615
25,male,2,own,little,,1258,24,business,0,2007-10-11 10:05:55,245
23,female,1,own,little,moderate,2101,13,radio/TV,0,2007-06-30 13:04:06,336
64,female,2,own,little,moderate,753,6,radio/TV,0,2008-06-11 14:41:43,976
22,female,2,own,little,,1808,18,furniture/equipment,1,2007-06-20 02:53:22,614
46,male,2,own,rich,,1149,18,radio/TV,0,2007-07-19 07:16:01,427
22,female,2,own,little,moderate,5951,48,radio/TV,1,2007-10-14 01:49:00,1
29,male,1,own,little,little,3590,12,furniture/equipment,0,2007-12-19 09:24:45,874
26,male,3,own,quite rich,,3235,24,radio/TV,0,2008-03-15 10:28:15,408
27,male,1,own,little,,2708,15,furniture/equipment,0,2008-04-08 19:52:22,132
64,female,2,own,little,,1364,10,car,0,2008-06-23 23:46:18,219
23,female,1,rent,little,little,3234,24,furniture/equipment,1,2008-01-11 21:00:22,570
31,male,2,own,little,moderate,1935,24,business,1,2007-11-28 00:26:14,169
35,male,2,rent,little,moderate,1919,9,furniture/equipment,0,2008-01-19 13:36:45,103
32,male,2,own,little,,1530,18,car,1,2007-09-24 11:41:22,621
21,male,1,rent,little,little,1987,24,radio/TV,1,2007-09-19 00:03:58,731
38,male,2,own,,,3914,48,business,1,2007-11-06 02:33:15,622
30,male,1,own,little,,2028,24,furniture/equipment,0,2007-12-23 02:44:41,984
29,male,2,own,little,little,6887,36,education,1,2008-03-25 02:07:43,131
56,female,2,own,little,,1538,6,education,0,2008-04-19 04:44:40,680
57,male,1,rent,,,1264,12,business,0,2007-09-02 10:14:09,33
36,male,3,free,,moderate,12169,48,car,0,2008-06-11 20:09:12,272
50,female,2,free,moderate,moderate,2671,36,radio/TV,1,2008-03-06 17:47:40,607
27,male,2,own,little,little,5998,40,education,1,2008-03-14 20:43:54,789
39,male,1,own,,,9436,54,car,0,2007-09-27 18:28:50,78
31,male,2,own,little,little,2746,36,furniture/equipment,1,2007-07-25 03:14:13,315
28,male,2,own,little,,1249,24,car,0,2008-01-02 07:52:34,847
26,male,2,own,quite rich,moderate,1158,12,radio/TV,0,2008-02-12 23:01:45,41
49,male,2,own,little,little,1038,10,car,0,2008-02-04 00:03:40,303
45,female,1,own,,,3835,36,radio/TV,0,2007-09-11 02:11:06,211
26,female,1,rent,little,little,3599,21,furniture/equipment,0,2008-01-02 16:15:14,341
30,female,2,own,,little,7721,24,furniture/equipment,0,2008-06-12 10:26:07,108
42,male,3,free,little,little,7763,48,car,1,2008-02-11 23:40:05,538
37,male,2,free,little,,1819,36,education,1,2007-08-17 13:11:51,68
33,male,2,own,little,,1478,15,radio/TV,0,2008-01-18 07:40:46,682
38,male,2,own,,moderate,368,6,radio/TV,0,2007-06-25 07:34:56,493
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,1,2007-08-28 17:15:58,197
23,female,1,rent,little,little,6229,36,furniture/equipment,1,2007-12-10 15:53:53,59
33,female,2,own,,,1927,24,education,0,2007-08-06 20:49:36,577
30,male,2,own,moderate,moderate,3566,48,business,0,2008-02-04 05:46:26,145
19,female,2,rent,little,,1980,9,furniture/equipment,1,2007-09-27 09:04:53,633
38,male,1,own,little,moderate,1308,15,repairs,0,2007-08-12 03:28:06,641
22,female,2,rent,little,,433,18,radio/TV,1,2007-07-10 07:57:53,249
49,male,2,own,moderate,rich,1126,9,radio/TV,0,2008-02-09 09:16:52,502
44,male,3,rent,little,little,3384,6,furniture/equipment,1,2008-05-20 09:38:42,335
39,female,2,own,little,moderate,1188,21,business,1,2007-06-15 05:04:28,790
28,male,2,free,little,,3343,15,furniture/equipment,0,2008-05-20 00:45:08,857
27,female,2,own,moderate,,1237,6,radio/TV,0,2007-08-15 08:25:05,492
47,male,2,own,quite rich,,1213,15,radio/TV,0,2007-11-29 12:43:49,81
34,male,2,own,little,moderate,5800,36,car,0,2008-04-20 04:10:51,893
31,male,2,own,little,,1360,15,radio/TV,0,2007-12-01 06:47:37,185
48,female,1,own,,moderate,4351,24,furniture/equipment,0,2007-09-13 21:57:22,317
47,male,1,own,quite rich,,1316,15,radio/TV,0,2008-01-13 10:00:14,726
60,male,2,own,rich,,1940,24,car,0,2008-05-15 13:26:20,781
26,female,0,rent,little,moderate,1778,15,car,1,2008-05-06 02:24:15,809
22,male,2,own,moderate,moderate,1514,15,repairs,0,2007-10-15 21:49:52,970
31,male,2,own,moderate,,3621,24,radio/TV,1,2007-08-24 07:56:59,949
65,male,2,own,,,930,12,radio/TV,0,2007-07-14 05:21:00,807
47,male,1,own,little,,2538,24,car,1,2008-05-05 18:49:24,978
36,male,2,own,little,moderate,2337,36,radio/TV,0,2007-10-27 02:39:21,98
24,female,2,rent,little,little,652,12,furniture/equipment,0,2007-12-08 05:56:40,869
38,female,2,own,,,1240,12,radio/TV,0,2007-07-02 05:34:35,135
29,male,2,rent,,,7166,42,radio/TV,0,2007-06-17 12:52:20,968
26,female,2,own,little,,2404,18,radio/TV,0,2008-04-28 08:12:00,276
33,male,2,own,moderate,little,2359,24,furniture/equipment,1,2007-10-19 22:09:29,918
28,male,2,own,little,moderate,1068,6,radio/TV,0,2007-11-16 22:35:11,329
30,male,3,own,moderate,moderate,1919,30,radio/TV,1,2008-04-01 04:29:06,935
41,male,3,own,,,6313,24,car,0,2007-08-17 01:11:10,791
27,female,2,own,little,moderate,2930,12,radio/TV,0,2007-10-28 02:51:26,576
44,female,2,own,,,5943,24,radio/TV,1,2007-07-18 00:36:56,80
39,male,1,own,little,,426,6,radio/TV,0,2008-04-24 02:51:06,26
44,male,2,own,quite rich,,2375,24,business,0,2008-05-01 11:27:03,830
39,male,2,free,,rich,1271,15,radio/TV,1,2007-07-30 12:09:48,757
31,male,2,own,,,929,24,furniture/equipment,0,2007-07-14 22:21:50,942
49,male,2,free,,little,2964,24,car,0,2008-06-10 19:01:19,560
24,male,2,own,,moderate,2030,9,furniture/equipment,0,2007-07-05 08:17:37,254
27,male,1,own,,moderate,7418,60,radio/TV,0,2008-02-02 14:05:02,255
36,male,2,own,little,moderate,884,18,car,1,2007-05-02 06:22:11,184
30,female,2,own,quite rich,moderate,8358,48,car,0,2008-04-30 16:52:53,945
44,male,2,own,little,little,1553,18,furniture/equipment,1,2007-12-12 10:49:28,631
46,female,2,rent,little,little,1845,15,furniture/equipment,0,2007-06-12 18:52:38,944
47,male,2,free,,little,8335,36,car,1,2007-08-25 09:18:57,828
48,male,2,own,little,little,1024,24,radio/TV,1,2007-07-07 02:32:54,289
43,male,2,free,little,little,1333,24,car,1,2007-05-29 01:19:02,545
36,male,2,own,little,,1542,12,business,0,2008-01-28 07:06:49,365
35,male,2,own,,,976,12,radio/TV,0,2007-05-24 20:47:40,803
37,male,1,own,little,moderate,1922,12,furniture/equipment,1,2008-02-11 05:57:31,651
29,female,0,own,,moderate,3990,36,domestic appliances,0,2007-05-28 12:18:34,735
23,male,1,own,little,moderate,1246,24,car,1,2008-02-26 05:40:20,355
37,female,2,rent,little,little,7685,48,business,1,2007-06-09 04:30:16,375
63,male,3,free,,,13756,60,car,0,2007-06-01 13:18:05,373
23,female,2,rent,little,little,2511,15,car,0,2008-01-28 15:12:26,746
47,male,2,own,little,rich,3017,30,radio/TV,0,2008-04-20 13:34:15,669
43,male,2,own,,,2197,24,car,0,2008-01-29 07:56:58,406
23,male,1,rent,,little,1936,18,radio/TV,0,2008-01-08 16:34:07,992
29,male,1,own,,moderate,2333,24,furniture/equipment,0,2008-03-20 05:38:14,50
34,female,3,own,little,moderate,2064,24,furniture/equipment,1,2008-05-25 22:20:50,172
25,male,1,rent,little,,2210,10,furniture/equipment,1,2007-09-25 01:26:07,864
57,female,1,own,moderate,,1154,11,radio/TV,0,2007-12-16 05:21:45,259
29,male,2,own,little,little,5179,36,furniture/equipment,1,2008-05-09 10:01:21,840
28,female,2,rent,little,little,1403,15,car,0,2008-05-24 20:02:10,14
35,female,2,own,rich,,1592,12,furniture/equipment,0,2007-05-10 23:13:42,897
53,male,3,free,little,little,7865,12,furniture/equipment,1,2008-05-01 20:40:34,227
25,female,2,own,,moderate,2762,12,furniture/equipment,1,2007-11-07 19:44:50,424
36,male,3,free,little,little,5302,18,car,0,2008-05-29 13:56:58,262
35,female,1,own,quite rich,,3447,12,education,0,2007-12-11 23:50:12,244
30,male,3,own,little,little,3959,36,furniture/equipment,0,2008-04-23 17:59:18,993
27,female,2,own,little,,1449,9,business,0,2008-02-29 11:12:50,389
46,female,1,own,little,rich,2251,12,furniture/equipment,0,2008-05-19 15:55:37,251
68,male,0,free,little,moderate,1175,16,car,0,2007-09-21 21:22:16,187
42,male,2,free,moderate,,1346,6,radio/TV,0,2008-05-29 22:33:33,150
46,male,2,own,little,,1829,15,radio/TV,0,2007-11-25 01:42:43,891
54,male,3,own,rich,,4591,24,business,1,2008-04-16 08:39:58,190
34,female,2,own,little,,1493,12,radio/TV,0,2007-11-17 01:57:32,638
24,female,2,own,little,little,4272,20,furniture/equipment,0,2007-06-24 22:13:55,802
32,male,2,rent,quite rich,,3062,24,furniture/equipment,0,2008-04-07 01:37:18,794
33,male,3,own,little,moderate,4439,18,business,0,2007-11-23 00:36:34,343
30,male,2,own,little,,1224,9,car,0,2008-01-31 07:25:49,932
25,female,1,own,moderate,moderate,2631,15,repairs,0,2007-11-29 17:45:11,691
28,male,3,rent,little,moderate,9398,36,car,1,2008-04-02 08:50:26,291
36,male,2,free,,,846,7,radio/TV,0,2007-09-18 11:13:20,377
29,male,3,own,little,moderate,11328,24,vacation/others,1,2008-04-06 11:54:47,431
43,male,3,own,little,little,15857,36,vacation/others,0,2007-05-16 07:20:08,818
28,male,1,rent,little,moderate,6260,18,car,0,2008-04-20 21:45:26,112
23,female,1,own,moderate,moderate,836,12,car,1,2007-08-29 11:44:09,783
34,male,3,own,moderate,,1591,21,furniture/equipment,0,2007-06-12 15:13:03,423
26,male,2,own,little,rich,1925,24,furniture/equipment,0,2008-01-23 15:20:04,248
37,female,2,own,little,,3380,4,car,0,2007-12-15 09:16:23,734
24,male,2,own,little,little,2145,36,business,1,2007-12-19 05:49:15,951
63,male,2,own,,,1520,15,furniture/equipment,0,2007-06-23 03:53:15,283
36,male,2,own,little,moderate,3915,27,business,1,2008-03-10 10:37:02,192
34,male,3,own,little,moderate,1860,12,car,0,2007-05-14 02:57:26,128
45,male,3,own,moderate,,8588,39,car,0,2008-06-24 00:47:21,509
44,female,3,free,little,little,6419,24,car,0,2008-01-16 05:11:13,292
57,male,3,free,little,moderate,14318,36,car,1,2007-12-16 18:47:38,378
22,male,2,free,little,little,3149,24,furniture/equipment,0,2007-12-24 12:03:24,229
39,male,1,own,moderate,moderate,1037,12,business,0,2008-02-18 02:55:57,478
40,male,0,free,,moderate,5381,48,vacation/others,0,2008-03-18 18:40:46,310
47,male,2,free,little,,1984,18,furniture/equipment,0,2007-09-18 07:43:16,133
39,male,1,rent,little,little,2122,12,car,0,2008-04-02 03:22:18,494
30,male,2,own,little,moderate,7966,26,car,0,2007-11-08 13:56:18,525
36,female,2,own,little,rich,2247,12,car,0,2008-04-24 08:01:14,362
47,male,2,own,little,moderate,2353,21,car,0,2007-11-19 04:28:09,961
34,male,2,own,little,little,6999,48,radio/TV,1,2008-02-13 08:21:05,552
75,female,3,own,,little,1374,6,car,0,2007-11-06 00:46:31,536
55,male,3,free,little,moderate,9283,42,car,0,2007-07-17 11:55:51,808
63,male,2,own,little,little,2924,24,car,0,2007-10-27 22:14:23,465
31,male,1,own,little,moderate,1410,12,education,0,2007-07-21 21:07:44,782
36,male,2,free,,,700,6,radio/TV,0,2007-12-21 13:57:45,519
30,male,3,rent,little,moderate,2063,6,radio/TV,0,2007-10-29 16:26:45,937
23,female,2,rent,little,,1236,9,domestic appliances,0,2007-06-22 18:02:50,350
21,male,1,own,little,little,6568,24,business,0,2007-12-06 19:41:49,208
26,male,2,own,little,,1934,12,radio/TV,0,2008-04-27 08:01:16,490
34,female,1,free,little,moderate,1837,24,education,1,2007-07-16 20:32:23,602
24,male,2,own,moderate,moderate,5595,72,radio/TV,1,2008-01-03 20:45:43,677
29,female,2,own,little,little,3959,15,car,1,2008-02-18 03:49:42,858
49,male,1,own,little,,2096,12,education,0,2008-05-25 04:50:44,2
27,male,2,own,rich,,8613,27,car,0,2007-12-02 23:43:44,136
31,male,1,own,moderate,moderate,9857,36,business,0,2007-07-12 01:25:41,684
24,male,2,rent,little,moderate,2323,36,radio/TV,0,2007-11-28 16:56:30,101
43,male,2,own,,moderate,2899,18,car,0,2008-01-15 10:44:09,404
30,male,3,own,,little,14179,39,furniture/equipment,0,2008-05-27 05:00:40,744
35,female,2,own,little,,1291,12,radio/TV,0,2007-07-06 04:07:50,238
22,female,2,rent,little,little,3632,24,car,0,2008-04-09 21:51:10,613
40,male,1,rent,little,little,684,12,education,1,2008-03-16 10:10:02,649
33,male,2,own,little,moderate,1245,18,radio/TV,1,2007-07-17 08:27:55,474
28,male,2,own,rich,little,2659,18,furniture/equipment,0,2007-11-27 07:46:09,323
37,female,2,own,little,moderate,3612,18,furniture/equipment,0,2007-12-31 02:58:16,537
44,male,2,rent,quite rich,little,2647,6,radio/TV,0,2007-05-08 02:13:03,21
26,female,2,own,little,,763,12,furniture/equipment,0,2007-11-24 20:44:12,171
38,male,1,own,little,,1495,12,car,0,2007-07-08 22:25:08,204
23,female,1,rent,little,,601,4,furniture/equipment,0,2007-08-08 10:14:01,837
34,male,1,own,little,little,11998,30,repairs,1,2008-05-26 12:22:26,274
29,male,1,own,,rich,1494,4,car,0,2008-01-30 10:29:25,314
51,male,3,free,little,little,1164,8,vacation/others,0,2007-05-20 23:14:00,72
24,male,2,own,little,little,9271,36,car,1,2007-05-13 05:13:03,805
25,female,2,rent,little,little,1882,18,radio/TV,1,2007-11-09 07:02:45,727
31,male,2,free,little,,6110,48,education,0,2008-02-17 23:29:54,36
33,male,2,own,little,moderate,1414,8,radio/TV,0,2007-10-03 04:31:32,173
25,male,1,own,little,moderate,685,12,car,1,2007-06-09 00:54:24,313
50,male,2,rent,quite rich,,1236,6,car,0,2007-08-07 21:38:36,695
37,male,2,own,,,7409,36,business,0,2007-07-12 16:29:02,868
35,male,2,own,little,,5842,36,car,0,2007-07-05 09:02:00,415
24,male,2,free,little,little,4605,48,car,1,2007-11-09 00:44:55,242
45,male,2,free,little,little,7882,42,furniture/equipment,0,2008-02-02 07:35:12,3
29,female,1,rent,quite rich,,1123,12,furniture/equipment,1,2008-01-16 03:27:15,700
38,male,2,free,,moderate,6681,48,business,0,2008-05-04 08:10:09,829
55,female,0,free,little,little,1190,18,repairs,1,2007-05-05 00:14:17,429
37,female,2,rent,quite rich,,1402,12,furniture/equipment,0,2007-08-13 14:32:51,271
28,male,2,own,little,moderate,3060,48,radio/TV,1,2007-06-04 15:23:32,273
38,male,2,own,,moderate,754,12,education,0,2008-06-19 21:26:30,463
38,male,2,free,little,rich,947,24,car,1,2007-06-09 21:10:22,648
61,male,2,own,rich,moderate,1512,15,repairs,1,2008-03-26 15:24:41,449
34,male,2,own,little,,1950,18,business,0,2007-05-22 11:05:25,464
65,male,2,own,little,little,571,21,car,0,2008-04-19 06:52:58,179
42,male,2,own,quite rich,,522,12,radio/TV,0,2007-09-15 19:31:16,933
32,male,1,own,rich,,4526,27,furniture/equipment,0,2007-07-21 21:32:38,863
31,male,2,own,,,3378,18,car,0,2007-06-30 16:22:32,53
67,female,3,own,little,moderate,1199,9,education,0,2007-08-28 13:10:58,554
64,male,1,own,,,3832,9,education,0,2007-06-01 11:55:15,629
27,male,3,own,little,,6314,24,vacation/others,0,2007-06-30 23:13:06,665
38,male,2,own,moderate,moderate,1216,24,radio/TV,1,2007-12-13 02:50:30,503
28,female,2,rent,moderate,moderate,2631,15,car,1,2008-01-17 09:28:52,531
26,female,1,rent,moderate,moderate,4280,30,business,1,2007-10-28 03:28:48,739
25,female,2,own,little,,2238,18,radio/TV,0,2007-10-02 16:19:44,385
39,male,3,own,little,,1884,12,car,0,2008-04-30 08:37:10,440
35,male,2,rent,moderate,,1204,6,car,0,2008-04-23 03:34:19,247
35,male,1,own,little,,2684,24,radio/TV,0,2007-12-30 00:40:33,256
24,male,1,rent,little,little,3021,24,furniture/equipment,0,2008-01-03 16:18:07,218
36,male,2,own,rich,rich,1275,24,business,0,2008-03-24 23:06:05,729
29,male,2,free,little,little,2149,12,radio/TV,1,2007-12-19 16:47:44,257
37,male,2,own,little,moderate,802,15,radio/TV,1,2007-12-16 22:59:30,265
27,male,1,own,little,moderate,1082,9,radio/TV,0,2007-07-26 08:24:48,574
32,male,2,free,little,,3863,24,business,0,2007-09-16 02:57:37,599
39,female,1,own,,moderate,932,6,education,0,2007-05-01 20:28:44,215
61,male,1,own,rich,,3059,12,radio/TV,0,2008-06-04 00:29:45,8
42,male,2,own,little,,3331,12,furniture/equipment,0,2007-10-08 14:40:27,867
32,male,2,own,moderate,little,2325,24,car,0,2007-08-01 03:15:42,740
42,female,2,own,,moderate,5084,24,radio/TV,0,2008-06-25 04:38:45,833
29,female,1,rent,little,little,1659,24,radio/TV,1,2007-06-01 06:50:39,466
30,female,3,own,,little,7174,42,radio/TV,1,2007-11-30 07:36:16,116
36,male,3,free,little,little,1872,6,furniture/equipment,0,2007-09-27 17:37:49,432
23,female,2,rent,moderate,moderate,1553,24,radio/TV,0,2007-10-20 04:49:56,565
31,male,2,own,little,,2775,18,car,1,2007-05-01 23:14:02,598
29,male,2,own,little,moderate,2629,20,vacation/others,0,2008-03-23 12:57:07,442
42,male,3,own,little,,10366,60,car,0,2007-07-03 16:44:22,672
20,male,2,own,,little,2996,24,furniture/equipment,1,2007-05-01 07:17:29,495
31,male,1,own,little,moderate,1928,18,furniture/equipment,1,2007-11-13 05:27:58,559
23,female,2,own,moderate,,3812,15,car,0,2008-06-25 16:13:42,258
52,male,2,own,little,,3077,12,radio/TV,0,2007-09-09 03:42:33,486
25,female,2,rent,little,little,1433,15,furniture/equipment,0,2008-06-05 12:57:22,985
34,male,1,own,little,rich,2864,18,furniture/equipment,1,2008-05-24 15:53:11,543
27,female,2,rent,,moderate,1924,18,furniture/equipment,1,2008-02-20 08:32:03,124
30,male,2,own,,moderate,2028,12,car,0,2008-02-19 04:25:28,421
30,male,2,free,moderate,moderate,2862,36,car,0,2007-12-14 01:30:56,687
27,male,2,own,rich,moderate,10961,48,radio/TV,1,2008-03-28 03:53:10,226
37,male,1,own,little,rich,3949,10,car,0,2007-06-30 23:56:46,344
28,female,1,own,little,rich,745,9,radio/TV,1,2008-03-16 14:16:23,936
47,male,2,own,little,,3422,18,furniture/equipment,0,2007-09-07 14:50:59,844
42,male,1,own,little,,1503,4,radio/TV,0,2007-10-04 20:48:21,527
41,male,1,own,quite rich,,2580,21,business,1,2008-03-30 16:48:24,674
31,male,2,own,moderate,moderate,1449,6,business,0,2007-09-23 23:01:25,110
26,male,2,own,little,moderate,1424,12,domestic appliances,0,2008-03-11 17:42:25,207
32,male,3,free,little,,4686,36,car,0,2008-01-06 15:35:07,511
36,male,2,rent,little,little,3905,11,car,0,2007-07-31 02:12:14,456
25,male,1,own,little,moderate,866,18,radio/TV,0,2008-03-14 22:24:51,233
27,male,3,free,,moderate,9157,60,radio/TV,0,2007-11-18 05:52:51,616
46,male,2,free,little,little,6331,48,car,1,2007-06-05 00:52:21,701
25,male,2,own,,,999,24,radio/TV,0,2007-12-20 12:23:00,269
59,female,2,rent,little,moderate,6416,48,business,1,2008-04-09 16:35:01,728
38,male,3,own,little,,7814,24,car,0,2008-03-20 16:43:52,880
64,male,1,rent,little,little,2384,24,radio/TV,0,2007-11-14 06:12:32,678
40,male,2,own,little,,1585,24,furniture/equipment,0,2007-05-29 06:55:31,497
23,female,2,rent,little,little,1216,18,car,1,2007-11-10 06:35:31,831
23,female,2,own,little,little,448,6,education,1,2008-03-30 14:35:47,471
28,male,3,own,little,moderate,4249,30,car,1,2008-05-31 12:00:45,320
63,male,2,own,,,7596,30,car,0,2008-05-24 16:51:10,715
25,female,1,own,little,moderate,4736,24,furniture/equipment,1,2007-09-23 20:18:57,911
28,female,3,rent,little,little,2606,21,radio/TV,0,2008-01-01 23:17:47,896
50,male,2,own,,moderate,1537,15,radio/TV,0,2007-11-08 20:14:02,61
46,male,2,own,rich,,1582,18,radio/TV,0,2008-02-19 23:07:30,149
22,male,2,own,little,,1478,9,radio/TV,1,2007-06-11 14:15:21,228
74,male,3,own,little,,4526,24,business,0,2008-01-25 14:18:30,606
49,male,1,own,,rich,3656,30,radio/TV,0,2007-11-24 04:59:52,956
42,male,2,free,little,moderate,6288,60,education,1,2008-01-09 08:34:05,938
32,male,2,rent,moderate,moderate,11760,39,education,0,2008-05-12 10:01:40,395
54,female,2,rent,little,moderate,7432,36,car,0,2008-01-26 19:59:02,815
49,male,1,own,little,moderate,3124,12,car,0,2007-08-19 22:25:28,581
36,male,2,own,rich,moderate,1913,18,business,0,2007-12-15 01:46:11,30
25,female,2,rent,little,moderate,2969,12,furniture/equipment,1,2007-11-20 05:52:16,707
35,male,2,own,quite rich,moderate,1410,14,business,0,2007-10-31 12:45:10,109
36,male,1,own,little,moderate,4241,24,business,1,2008-01-26 10:44:55,597
33,male,1,rent,little,moderate,2384,36,repairs,1,2007-08-29 20:44:34,583
63,male,2,own,little,little,2957,24,car,0,2008-03-05 22:47:45,838
29,female,2,own,little,rich,683,6,radio/TV,0,2007-06-18 05:30:53,562
75,male,3,free,little,little,6615,24,car,0,2007-05-06 09:37:45,330
27,male,2,own,,rich,1347,10,radio/TV,0,2008-03-24 17:28:25,686
32,male,2,own,rich,moderate,2745,21,furniture/equipment,0,2007-08-17 23:01:28,299
48,female,1,rent,little,moderate,1795,18,radio/TV,0,2008-06-05 14:27:09,801
22,male,1,own,little,moderate,454,6,repairs,0,2008-01-10 11:30:51,964
25,male,1,own,little,moderate,4746,45,radio/TV,1,2007-11-21 00:25:22,35
60,male,3,own,,moderate,6468,20,car,0,2007-10-25 07:38:04,784
35,male,2,own,,moderate,3976,21,furniture/equipment,0,2007-12-10 17:19:11,845
34,male,2,own,little,little,3965,42,radio/TV,1,2007-05-31 01:28:04,76
43,male,1,own,little,,7393,24,car,0,2008-04-18 10:35:09,971
53,female,3,own,,,7485,30,car,1,2008-04-23 17:31:50,175
38,female,0,own,little,,926,12,car,0,2008-01-24 12:11:28,697
36,male,2,own,moderate,,2872,24,radio/TV,0,2008-05-18 21:49:20,160
40,male,3,rent,little,rich,1905,15,education,0,2007-12-25 21:09:37,699
26,male,1,own,little,moderate,590,6,radio/TV,0,2007-09-15 14:49:50,806
36,male,3,free,little,little,1940,18,radio/TV,0,2007-05-28 20:16:13,876
42,female,3,free,little,moderate,8318,27,business,1,2007-12-14 08:38:00,491
20,female,2,own,rich,moderate,1577,11,furniture/equipment,0,2007-07-03 09:23:24,167
67,female,2,own,little,moderate,3872,18,repairs,0,2007-12-24 12:25:28,779
38,male,2,own,little,,804,12,radio/TV,0,2007-12-25 17:09:27,997
49,male,1,own,little,,640,12,car,0,2008-01-27 04:44:15,619
23,female,1,own,little,little,976,18,car,1,2007-07-03 15:46:43,751
35,female,1,own,little,little,10722,47,car,0,2008-03-26 18:22:32,285
40,male,2,rent,,,7824,28,car,0,2007-08-14 23:16:46,889
24,male,2,own,little,rich,5848,36,radio/TV,0,2007-08-04 15:52:08,152
27,male,2,own,rich,,5804,24,car,0,2007-11-24 10:21:49,860
